City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
266,dawei,14.0833,98.2,23.61,81,82,1.9,MM,1676500161
267,imbituba,-28.24,-48.6703,24.58,83,100,2.76,BR,1676500162
268,richards bay,-28.783,32.0377,24.3,92,100,2.63,ZA,1676500162
269,kalmunai,7.4167,81.8167,22.09,78,36,2.28,LK,1676500163
270,asau,46.4333,26.4,1.51,92,24,1.99,RO,1676500163
271,oksfjord,70.2396,22.3479,3.1,92,99,5.35,NO,1676500164
272,lazaro cardenas,17.9583,-102.2,28.28,49,10,5.44,MX,1676500165
273,havre-saint-pierre,50.2334,-63.5986,-1.0,86,100,1.54,CA,1676500165
274,zhangye,38.9342,100.4517,-3.58,48,42,2.07,CN,1676500166
275,sao filipe,14.8961,-24.4956,21.38,72,0,4.49,CV,1676500167
276,kargil,34.5667,76.1,-17.73,86,64,0.89,IN,1676500167
277,alofi,-19.0595,-169.9187,28.94,79,75,4.12,NU,1676500168
278,verkh-tula,54.8839,82.7762,-25.7,76,85,2.0,RU,1676500168
279,zeya,53.75,127.2667,-27.4,100,99,1.26,RU,1676500169
280,laguna,38.421,-121.4238,15.42,28,0,6.69,US,1676500169
281,hambantota,6.1241,81.1185,21.44,81,6,6.08,LK,1676500170
282,codrington,-38.2667,141.9667,24.24,35,100,3.35,AU,1676500171
283,waipawa,-41.4122,175.5153,13.7,95,100,7.06,NZ,1676500171
284,ayagoz,47.9714,80.4392,-19.08,100,97,1.45,KZ,1676500172
285,kailahun,8.2833,-10.5667,24.19,79,51,1.51,SL,1676500172
286,praia da vitoria,38.7333,-27.0667,15.42,72,75,5.19,PT,1676500173
287,mapimi,25.8167,-103.85,25.99,4,0,3.21,MX,1676500173
288,micheweni,-4.9667,39.8333,26.37,79,83,3.71,TZ,1676500174
289,lakes entrance,-37.8811,147.981,25.65,52,53,1.99,AU,1676500174
290,ossora,59.2353,163.0719,-13.61,67,100,7.83,RU,1676500175
291,termoli,41.9888,14.9895,11.54,71,0,2.28,IT,1676500175
292,kroya,-7.6331,109.2461,24.37,86,100,1.68,ID,1676500176
293,kaitangata,-46.2817,169.8464,15.87,72,81,2.86,NZ,1676500176
294,beringovskiy,63.05,179.3167,-29.1,99,100,5.92,RU,1676500177
295,port hedland,-20.3167,118.5667,29.03,51,50,2.06,AU,1676500177
296,charters towers,-20.1,146.2667,22.48,69,100,5.34,AU,1676500178
297,yavaros,26.7,-109.5167,19.12,54,36,4.18,MX,1676500178
298,tilichiki,60.4667,166.1,-23.83,81,100,5.34,RU,1676500179
299,vila,42.0304,-8.1588,6.49,73,73,1.21,PT,1676500179
300,boulder,40.0833,-105.3505,-9.99,78,100,3.6,US,1676500020
301,mareeba,-17.0,145.4333,23.4,96,100,2.12,AU,1676500180
302,petropavlovsk-kamchatskiy,53.0452,158.6483,-5.67,50,40,10.0,RU,1676500180
303,khanpur,28.6453,70.6567,20.69,21,12,3.2,PK,1676500181
304,orlik,52.5178,99.825,-30.02,97,59,1.18,RU,1676500182
305,ciudad bolivar,8.1222,-63.5497,30.04,53,90,7.13,VE,1676500182
306,rio grande,-32.035,-52.0986,25.06,67,33,5.76,BR,1676499947
307,stykkisholmur,65.0757,-22.7297,0.43,78,84,4.85,IS,1676500183
308,pindi gheb,33.2402,72.2661,15.44,45,32,2.04,PK,1676500183
309,vaitape,-16.5167,-151.75,27.72,73,13,5.02,PF,1676500184
310,aneho,6.2333,1.6,29.11,81,46,4.13,TG,1676500184
311,saint-louis,16.3333,-15.0,26.73,22,71,4.95,SN,1676500185
312,hailun,47.45,126.9333,-20.28,93,100,3.29,CN,1676500185
313,yeniseysk,58.4497,92.1703,-29.89,100,100,0.29,RU,1676500186
314,san javier,37.8063,-0.8374,13.84,77,20,5.66,ES,1676500186
315,beian,63.6559,9.5683,6.05,70,0,8.23,NO,1676500187
316,ugoofaaru,5.6667,73.0,26.52,66,80,4.83,MV,1676500187
317,cap malheureux,-19.9842,57.6142,23.59,76,7,4.49,MU,1676500188
318,adrar,20.5022,-10.0711,23.35,17,96,5.05,MR,1676500188
319,kavieng,-2.5744,150.7967,27.82,76,100,2.36,PG,1676500189
320,haines junction,60.7522,-137.5108,-6.03,79,100,0.51,CA,1676500190
321,iqaluit,63.7506,-68.5145,-29.06,68,20,4.92,CA,1676500190
322,mayor pablo lagerenza,-19.9309,-60.7718,30.83,55,100,2.79,PY,1676500191
323,nusaybin,37.0778,41.2178,1.08,54,1,3.33,TR,1676500191
324,dzaoudzi,-12.7887,45.2699,26.94,78,0,2.06,YT,1676500191
325,colquechaca,-18.6667,-66.0167,3.68,79,100,4.05,BO,1676500192
326,bambanglipuro,-7.95,110.2833,24.49,90,100,3.07,ID,1676500192
327,lompoc,34.6391,-120.4579,16.55,48,0,4.63,US,1676500126
328,namatanai,-3.6667,152.4333,28.26,72,93,2.91,PG,1676500193
329,dauphin,51.1494,-100.0502,-15.92,72,100,3.6,CA,1676500194
330,ponta do sol,32.6667,-17.1,15.4,65,73,5.59,PT,1676500194
331,kasempa,-13.4584,25.8338,17.22,96,100,2.43,ZM,1676500195
332,tura,25.5198,90.2201,14.49,39,3,1.3,IN,1676500195
333,dwarka,22.2394,68.9678,21.65,72,1,4.13,IN,1676500196
334,ginir,7.1333,40.7,15.08,26,40,2.48,ET,1676500196
335,bathsheba,13.2167,-59.5167,26.34,73,40,7.72,BB,1676500197
336,batagay-alyta,67.8006,130.4114,-37.32,86,30,1.8,RU,1676500197
337,bastia,42.6667,9.3333,10.17,85,20,2.06,FR,1676500198
338,vallenar,-28.5708,-70.7581,26.42,42,0,3.5,CL,1676500198
339,novikovo,51.1537,37.8879,-9.51,97,75,2.66,RU,1676500199
340,constitucion,-35.3333,-72.4167,19.63,64,6,8.89,CL,1676500200
341,limerick,52.6647,-8.6231,11.16,96,100,6.42,IE,1676500200
342,partenit,44.578,34.3446,-0.15,73,43,3.98,UA,1676500201
343,odweyne,9.4092,45.064,18.79,61,7,3.2,SO,1676500201
344,hasaki,35.7333,140.8333,-0.99,56,39,8.5,JP,1676500203
345,paamiut,61.994,-49.6678,-6.42,73,100,7.52,GL,1676500204
346,chapayevka,47.4711,36.3451,-4.25,96,96,3.61,UA,1676500205
347,uusikaupunki,60.8004,21.4084,0.75,92,100,5.8,FI,1676500206
348,dingle,10.9995,122.6711,23.61,89,92,5.91,PH,1676500207
349,vardo,70.3705,31.1107,-0.01,80,20,7.2,NO,1676500208
350,saint-gilles,43.6766,4.4302,6.08,93,99,0.51,FR,1676500209
351,abapo,-18.8333,-63.4667,19.82,93,99,1.05,BO,1676500209
352,ayan,56.45,138.1667,-23.46,81,7,4.4,RU,1676500211
353,follonica,42.9263,10.7616,12.16,83,3,1.59,IT,1676500212
354,shwebo,22.5667,95.7,18.34,29,0,2.04,MM,1676500213
355,kainantu,-6.2887,145.8655,17.23,94,100,0.49,PG,1676500213
356,chimbote,-9.0853,-78.5783,24.76,74,100,3.47,PE,1676500214
